cell_label,brain_section_label,x,y,z,supertype,cluster,glut_cluster,x_lat,dl_score,dl_group
1017165415101440717,C57BL6J-638850.57,6.122827981878329,6.722457316100694,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.48100946612090034,-0.9955219796478305,ventromedial
1018143423101320608,C57BL6J-638850.56,4.883887894373044,6.580340494998389,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.42146638768621614,-0.8475064649147819,ventromedial
1017163940100590371,C57BL6J-638850.58,4.998054543809309,6.959389053368912,11.2,0047 IT AON-TT-DP Glut_2,0172 IT AON-TT-DP Glut_2,Glut_2,0.11788784139406605,-1.8537031137988194,ventromedial
1018135614201480348,C57BL6J-638850.55,4.834438796541677,6.695090491177823,10.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.5256515026089259,-0.8928279646502129,ventromedial
1017163940100600743,C57BL6J-638850.58,5.075423953110337,6.662886177734431,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.04051843209303829,-1.4829345438992867,ventromedial
1017163940100860593,C57BL6J-638850.58,6.272784089944164,6.83324713189565,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,1.1568417047407884,-0.2786389541385054,ventromedial
1017163940100600296,C57BL6J-638850.58,4.799089176634184,6.773137543470331,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.3168532085691913,-1.2934458270284934,ventromedial
1018143423101310610,C57BL6J-638850.56,4.867085560148661,6.801032343905444,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.43826872191059874,-1.1774052004150317,ventromedial
1017165415101440474,C57BL6J-638850.57,5.971965817833297,6.67152449951742,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.3301473020758685,-1.1137423401785438,ventromedial
1017165415101010763,C57BL6J-638850.57,4.664438191314963,6.417185725332917,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.9773803244424659,0.14789094110526674,ventromedial
1018143423101310614,C57BL6J-638850.56,4.805070008383729,6.915349179477991,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.5002842736755309,-1.277796180999135,ventromedial
1017163940100610321,C57BL6J-638850.58,4.473434829018469,6.066015514558425,11.2,0050 IT AON-TT-DP Glut_5,0183 IT AON-TT-DP Glut_5,Glut_5,0.6425075561849063,0.26538652145361497,ventromedial
1017165415101440739,C57BL6J-638850.57,6.1780977667759975,6.584782801112439,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.536279251018569,-0.702777764495105,ventromedial
1017165415101580336,C57BL6J-638850.57,6.317815511597481,6.633743105187477,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.6759969958400527,-0.5961464450997672,ventromedial
1017163940100600299,C57BL6J-638850.58,4.756301722646217,6.683004197416689,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.3596406625571582,-1.0930594129200522,ventromedial
1018143423101480118,C57BL6J-638850.56,5.156934573537132,6.582732536194957,10.8,0049 IT AON-TT-DP Glut_4,0179 IT AON-TT-DP Glut_4,Glut_4,0.1484197085221277,-1.212371194709918,ventromedial
1017163940100600301,C57BL6J-638850.58,4.716892864543088,6.602103781185661,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.3990495206602871,-0.911871743898113,ventromedial
1017163940100600608,C57BL6J-638850.58,4.905117256345177,6.5232357294982775,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.2108251288581986,-1.034924995649865,ventromedial
1018143423101810376,C57BL6J-638850.56,6.363536211351461,6.696150189510808,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,1.0581819292922008,-0.1903565180085016,ventromedial
1018143423101320480,C57BL6J-638850.56,4.823835040477838,6.51489580793012,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.481519241581422,-0.6636811408906065,ventromedial
1104095349101120529-1,C57BL6J-638850.59,6.0171436910794505,6.432185709049535,11.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,1.103103005445801,0.2902007409403904,ventromedial
1017163940100600763,C57BL6J-638850.58,4.981363016512032,6.425470706395879,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.13457936869134368,-0.9797591519734025,ventromedial
1017163940100870314,C57BL6J-638850.58,6.028360075826802,6.739486416444583,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.9124176906234265,-0.45224325781438907,ventromedial
1018135614101860209,C57BL6J-638850.55,6.079493817283848,6.626531559815657,10.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.7194035181332454,-0.5272441236223527,ventromedial
1017165415101010776,C57BL6J-638850.57,4.668459729651261,6.439645899777877,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.9733587861061679,0.10673781616291848,ventromedial
1018143423101480130,C57BL6J-638850.56,5.037661594114384,6.82192140861624,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.26769268794487555,-1.4362857432022293,ventromedial
1017165415101010786,C57BL6J-638850.57,4.642302821961296,6.53963561760195,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.9995156937961323,-0.01820978199155046,ventromedial
1017165415101150183,C57BL6J-638850.57,4.760116832121225,6.521369861835758,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.8817016836362033,-0.14485141085620337,ventromedial
1018143423101310648,C57BL6J-638850.56,4.881060315869068,6.837374493293208,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.42429396619019144,-1.2538682629591338,ventromedial
1104095349101090293-1,C57BL6J-638850.59,4.735764364442885,6.300690348388865,11.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.1782763211907641,-0.7228904080337702,ventromedial
1104095349101120385-1,C57BL6J-638850.59,6.186072454624481,6.332308111667748,11.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,1.272031768990832,0.6729302158668954,ventromedial
1104095349101090294-1,C57BL6J-638850.59,4.79907473996418,6.295192126213844,11.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.1149659456694696,-0.7978329110909147,ventromedial
1017165415101440463,C57BL6J-638850.57,6.023914431840962,6.490610373480951,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.3820959160835331,-0.7564003969497091,ventromedial
1018135614101480633,C57BL6J-638850.55,4.875553269460895,6.895591205491078,10.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.48453702968970713,-1.2670946056828802,ventromedial
1017165415101570033,C57BL6J-638850.57,6.077615625281206,6.9301576309995285,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.4357971095237776,-1.3866942761632215,ventromedial
1018143423101810072,C57BL6J-638850.56,6.200851464312949,6.603506839318545,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.8954971822536892,-0.257660183955675,ventromedial
1017165415101150348,C57BL6J-638850.57,4.847453128413244,6.570053967069057,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.7943653873441843,-0.33801178812653726,ventromedial
1017163940100610494,C57BL6J-638850.58,4.724557353939219,6.2750947028112245,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.39138503126415625,-0.40025972560469153,ventromedial
