n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo,doublet_score
4593,16442.0,0.121639706,0.15204963,0.1299518696778971
4839,16567.0,0.018108286,0.1569385,0.01892800283035556
2181,4708.0,0.0,0.3610875,0.05466494075475456
2266,5076.0,0.078802206,0.25610715,0.07174301011302793
2850,8199.0,0.048786435,0.2561288,0.0515998846929951
3845,11033.0,0.04531859,0.12689205,0.05466494075475456
2892,8316.0,0.13227513,0.24050024,0.07901768672859144
2686,6595.0,0.045489006,0.16679303,0.05466494075475456
2151,4576.0,0.0,0.30594406,0.023801844804231434
2481,5093.0,0.0,0.17671314,0.1802325581395348
4111,12832.0,0.14027432,0.19482544,0.03221983556773572
3584,11944.0,0.008372405,0.20093772,0.060599617265575154
2569,5718.0,0.06995453,0.27981812,0.1106035889070147
2909,6734.0,0.08910009,0.22275022,0.01704932939304387
3373,9647.0,0.062195502,0.20731834,0.08032955715756951
3111,8538.0,0.011712344,0.26938394,0.0473842782799233
4106,11734.0,0.025566729,0.2386228,0.20664307105907975
1886,4088.0,0.07338552,0.17123288,0.034967194133539166
4143,12502.0,0.00799872,0.18397056,0.03544776119402984
3879,11921.0,1.6693231,0.25165674,0.024476209124730763
3002,7064.0,0.07078143,0.24065685,0.025874172628200846
3880,10879.0,0.14707235,0.27576062,0.1802325581395348
2632,6323.0,0.015815277,0.284675,0.0515998846929951
4999,19634.0,0.020372823,0.17826219,0.03449333128928407
3873,11790.0,0.016963528,0.19508058,0.07062146892655366
2577,5654.0,0.0,0.3183587,0.010331595001475942
5184,16506.0,0.048467223,0.1817521,0.1670074982958418
1479,2531.0,0.82971156,0.1580403,0.15173137460650574
2528,5431.0,0.092064075,0.3866691,0.03693114129139863
1309,2235.0,0.08948546,0.08948546,0.12725286728563623
3106,7122.0,0.028082,0.322943,0.010331595001475942
3292,9451.0,0.0,0.20103692,0.05310513447432763
3333,9102.0,0.08789277,0.25269172,0.11729554379375111
2116,5022.0,0.03982477,0.07964954,0.037956322024337186
3223,9038.0,0.011064394,0.25448108,0.019777058612010068
3065,9176.0,0.08718396,0.18526591,0.050146378317121536
5004,18321.0,0.10370614,0.24016157,0.19006588950836295
3288,7697.0,0.0,0.23385736,0.0588235294117647
3279,8570.0,0.035005834,0.22170362,0.021561338289962824
2607,5540.0,0.018050542,0.3429603,0.013672496025437202
2647,6511.0,0.0,0.3839656,0.032662192393736016
3405,10452.0,0.019135093,0.20091848,0.006610603948374332
2089,4448.0,0.0,0.20233811,0.04805744798379671
2210,5362.0,0.018649757,0.3543454,0.023801844804231434
788,1094.0,0.27422303,0.36563072,0.029282783986419578
2346,4784.0,0.12541805,0.31354517,0.10255620572836464
2364,4856.0,0.061779242,0.3088962,0.01679199411997512
3961,12457.0,0.040138077,0.18463515,0.008124007843869643
3334,8731.0,0.0,0.34360325,0.009757755230836449
3199,8360.0,0.03588517,0.1555024,0.0055084375273235986
5438,22267.0,0.12125567,0.11227377,0.16295636687444337
3014,6146.0,0.1464367,0.48812237,0.016285186636073645
1725,3137.0,0.0,0.5100415,0.03311059388843006
3108,7913.0,0.0,0.2780235,0.12725286728563623
3733,12171.0,0.0,0.18075754,0.032662192393736016
2384,5867.0,0.034088973,0.22157831,0.0515998846929951
3698,10518.0,0.09507511,0.17113519,0.1756340365015406
4858,17885.0,0.0055912775,0.24042493,0.09045014724442571
2054,4262.0,0.14077897,0.3050211,0.0030711273084640263
4915,16944.0,0.07082153,0.1888574,0.1106035889070147
1823,3713.0,0.134662,0.2423916,0.050146378317121536
3112,8673.0,0.0,0.2882509,0.025874172628200846
2703,6059.0,0.033008747,0.16504374,0.0588235294117647
2025,4372.0,0.0,0.16010979,0.05387803433984607
3500,10957.0,0.009126586,0.27379757,0.044799858619775555
3637,11838.0,0.06757899,0.22807907,0.023143130379343322
3948,12250.0,0.04897959,0.1632653,0.024476209124730763
1924,3700.0,0.054054055,0.32432434,0.020654359349296294
2969,6696.0,0.2986858,0.22401434,0.1670074982958418
3946,15684.0,0.025503699,0.13389441,0.005662116490365623
1386,2323.0,0.043047786,0.43047783,0.03221983556773572
3881,12174.0,0.057499588,0.15607032,0.026968128575320074
4324,12066.0,1.0028179,0.38123652,0.1756340365015406
2787,7287.0,0.041169204,0.16467682,0.009757755230836449
1989,3933.0,0.025425883,0.33053648,0.008654528257271222
2724,6766.0,0.014779781,0.29559562,0.022499527320854605
3156,7809.0,0.07683442,0.15366884,0.05628232430787952
2596,5955.0,0.050377835,0.1679261,0.06844895137128369
4510,14255.0,0.014030165,0.22448264,0.059703064125513315
4408,13631.0,0.014672437,0.1540606,0.15173137460650574
1901,3423.0,0.08764242,0.17528483,0.050146378317121536
4067,9626.0,0.031165592,0.3012674,0.20664307105907975
2552,6455.0,0.12393494,0.1859024,0.018376990840674404
3214,7895.0,0.063331224,0.18999366,0.1802325581395348
2813,7951.0,0.0,0.100616276,0.030508474576271188
1952,3421.0,0.0,0.49693072,0.021870521527821048
4903,17592.0,0.03410641,0.14211005,0.007437333578183822
1956,3720.0,0.7258065,0.43010753,0.034026033340945415
4697,14570.0,0.013726836,0.21276595,0.20664307105907975
3056,8543.0,0.23410979,0.2224043,0.02125562195798164
2860,6187.0,1.5839664,0.25860676,0.05711361310133062
2055,3919.0,0.025516713,0.2041337,0.03744000000000001
3614,12232.0,0.08992806,0.19620666,0.0181058495821727
5042,20794.0,0.0048090797,0.15869963,0.034967194133539166
2405,5382.0,0.037160907,0.13006318,0.028103532024148215
3436,10938.0,0.0,0.18284878,0.06636568848758465
1285,1963.0,0.61130923,0.4584819,0.004758026490633975
2940,7420.0,0.16172507,0.16172507,0.012574385510996119
1387,2140.0,0.093457945,0.18691589,0.09045014724442571
2173,4062.0,0.07385524,0.19694732,0.0588235294117647
1807,2976.0,0.13440861,0.40322578,0.04122060187136475
3857,11729.0,1.1254156,0.18756928,0.07901768672859144
3058,7844.0,0.06374299,0.20397757,0.025166787766695294
2515,5731.0,0.017448962,0.3140813,0.10255620572836464
2104,4580.0,0.021834062,0.37117904,0.01865102639296188
2969,8125.0,0.0,0.20923077,0.04009962640099626
2900,7302.0,0.0,0.30128732,0.02481943532501642
3147,8096.0,0.037055336,0.20998025,0.07901768672859144
3358,8969.0,0.04459806,0.24528934,0.05711361310133062
3097,8167.0,0.024488796,0.17142157,0.020358700920988848
2899,6309.0,0.0,0.2377556,0.017572068450671875
3798,12256.0,0.016318537,0.14686684,0.040655847415091186
3374,12787.0,0.0,0.20333152,0.027720314439387668
3564,10226.0,0.13690594,0.22491688,0.19006588950836295
2255,4833.0,0.08276433,0.28967515,0.05628232430787952
3283,8899.0,0.04494887,0.123609394,0.1553273427471116
1911,3352.0,0.059665874,0.53699285,0.04122060187136475
1880,3192.0,0.06265664,0.40726817,0.11729554379375111
1954,4077.0,0.024527838,0.39244542,0.04543025120256547
2715,7056.0,0.042517006,0.29761904,0.026234360285214583
