gene_identifier,symbol,log2FoldChange,lfcSE,pvalue,padj,baseMean
ENSMUSG00000041642,Kif21b,0.21308324482731655,0.07839045770350908,0.006563232154039088,0.027988999887567725,106.30898188702122
ENSMUSG00000090135,Gm15809,0.8024742481416303,0.2952632876477016,0.00657123797671504,0.028016860436805676,0.574354093764975
ENSMUSG00000053716,Dusp7,0.22355747335509282,0.08226242963844516,0.006575463712082648,0.028028595487040175,135.77334036086125
ENSMUSG00000036430,Tbcc,0.3814105858108612,0.14035873125258316,0.00657973615543638,0.028040524332666152,39.850814884078105
ENSMUSG00000051747,Ttn,0.8944033179370652,0.3291491206595822,0.006581304574220173,0.028040926812981985,0.958122409842512
ENSMUSG00000026224,4933407L21Rik,-0.8120017033185304,0.29883442536950794,0.006583095090856379,0.028042275192219378,13.696122708895766
ENSMUSG00000064267,Hvcn1,0.8654430172581752,0.318547561680853,0.006590829858737746,0.028068938265642912,1.9905652649449408
ENSMUSG00000031227,Magee1,-0.17726754189983568,0.06528266937108905,0.006619888328389033,0.028173168991607427,180.0863540759235
ENSMUSG00000116114,Gm35853,-1.0255502749079424,0.377690753515785,0.006621227847007822,0.028173168991607427,2.9084759440143584
ENSMUSG00000090919,Pabpc4l,-1.2765260555605384,0.4701106327094494,0.006620101894637227,0.028173168991607427,0.19850978972529953
ENSMUSG00000063439,B9d2,0.32306567539012365,0.11897363710536807,0.006618793276439316,0.028173168991607427,34.53417720932152
ENSMUSG00000038646,Ramac,0.26680883664728877,0.09827014484013823,0.006626478778635537,0.02818920668263919,271.2176211006816
ENSMUSG00000007415,Gatad1,0.18297055611892227,0.06739409946812172,0.006628890832064539,0.0281931632437281,362.32901585176614
ENSMUSG00000032532,Cck,0.5219601510441372,0.19227053259244756,0.00663323568450689,0.0282053365359989,2471.4752985242176
ENSMUSG00000046329,Slc25a23,-0.13325850470550862,0.04909020737294629,0.006636309645986807,0.02821210161011241,462.8395972777017
ENSMUSG00000024486,Hbegf,-0.4661158308181391,0.1717627051861834,0.006653244178633047,0.028272883631625806,6.401735474446733
ENSMUSG00000024533,Spire1,0.13891457400652005,0.051190044056253395,0.006653579689801762,0.028272883631625806,289.6891315819864
ENSMUSG00000036565,Ttyh3,-0.16710768917433916,0.06158252510576604,0.006656512499686689,0.02827902943145144,276.5801206826268
ENSMUSG00000046598,Bdh1,0.5685726236232157,0.2096281561313266,0.0066819843924826785,0.028377295309179443,87.02832508278924
ENSMUSG00000021280,Exoc3l4,1.2797951390744595,0.47185571992411385,0.006682626313347557,0.028377295309179443,0.5594126065187384
ENSMUSG00000029919,Hpgds,0.4260284592013629,0.1571025573403138,0.006692185433737077,0.02841154556826917,12.946875197626047
ENSMUSG00000112400,Gm47725,-0.9327341051273941,0.34409507408803375,0.0067143939438549915,0.028499471304751754,2.3483393423887775
ENSMUSG00000022342,Kcnv1,0.28500575607592465,0.10516195239507688,0.006725068259175807,0.028538411457185043,172.37324041196993
ENSMUSG00000027273,Snap25,-0.12443155405247895,0.045918281870279014,0.00673140939224815,0.028558950106629972,4030.855734341374
ENSMUSG00000105579,Gm43251,0.8747622913016783,0.3229379390467935,0.0067534593737955265,0.028646111734021425,0.7425372764897197
ENSMUSG00000029090,Adgra3,0.372930961393833,0.137682090253042,0.006755997987458487,0.02865049168823234,14.856932498205353
ENSMUSG00000053897,Slc39a8,-1.3767567585177585,0.5083854535895614,0.00676703866937471,0.028688673777695517,0.25300664176096305
ENSMUSG00000028412,Slc44a1,0.16323132429852352,0.06027637161932188,0.006768017657395788,0.028688673777695517,177.75609692317065
ENSMUSG00000024269,Tpgs2,0.20486027371843787,0.07566078078955554,0.0067768563827754254,0.02871974066070833,135.65823016054887
ENSMUSG00000114841,Gm47352,-1.0933286474934834,0.4038421040143588,0.006782942771271291,0.028739132133778406,0.5615483233484655
ENSMUSG00000037526,Atg14,0.2503538282909315,0.09248244766666702,0.0067885760820907805,0.028756595721597642,45.94140092710519
ENSMUSG00000022329,Stk3,0.2796151189067026,0.10330973239729287,0.006798205731509531,0.0287909763660368,78.11144085696307
ENSMUSG00000087578,Ccdc142os,0.5327280251138512,0.19684224498274874,0.00680231278253209,0.028801958240572106,3.5462690501813383
ENSMUSG00000034656,Cacna1a,0.15857999332179348,0.058616391387787806,0.006822496049286338,0.028880989061331394,726.930771063861
ENSMUSG00000024897,Apba1,0.224521777859266,0.08300782720371981,0.0068340055470547155,0.02892327508947028,393.800972468645
ENSMUSG00000040618,Pck2,-0.8191651500661337,0.30296700970795937,0.006854952786949882,0.02900547638321498,28.822694606243118
ENSMUSG00000107230,Gm19265,-0.31446604067910516,0.11631345005525749,0.006859103569311915,0.02901196703540776,16.542320953482545
ENSMUSG00000060244,Alyref2,0.5162419037137006,0.19094698717607309,0.0068595367811850345,0.02901196703540776,15.89316048364726
ENSMUSG00000048799,Cep120,-0.17908615059757674,0.06625246300526115,0.006869882752433699,0.029049266388597172,108.23107972793233
ENSMUSG00000078490,Cfap74,-0.28039144115125125,0.10374200640635228,0.006876299746953849,0.02906993919690001,40.3838322948631
ENSMUSG00000021486,Prelid1,0.18518733487074635,0.06852852234277902,0.006885341146379164,0.029101695171898957,343.8722761115811
ENSMUSG00000041319,Thoc6,0.3798838860956748,0.140611473194728,0.006899502286321123,0.029155071411588858,8.686338589705224
ENSMUSG00000017688,Hnf4g,-1.0374025928519974,0.38400102878470316,0.006901460872559677,0.029156871339012947,0.2947374153217746
ENSMUSG00000046491,C1qtnf2,-1.3321498211360594,0.4931352262596557,0.006905063194931747,0.029165613281612247,0.16039430095044332
ENSMUSG00000116180,Gm49492,0.41269266715908004,0.15284078790017303,0.006930874613194011,0.029268137323285877,9.692149973702431
ENSMUSG00000084967,Gm12296,-0.8872493794243925,0.3287626295995145,0.00695996553262825,0.0293714250871162,7.3624006947136
ENSMUSG00000031320,Rps4x,-0.3439755983655525,0.12745416105313226,0.006958619689787556,0.0293714250871162,1342.399361776233
ENSMUSG00000039844,Rapgef1,-0.2109304707214769,0.07815467687198172,0.006957225144225622,0.0293714250871162,157.48863176516397
ENSMUSG00000057751,Megf6,0.7090231872580985,0.26279605921155774,0.0069757903536728765,0.029431677908244136,7.378993527666241
ENSMUSG00000006335,Tfpt,0.32024394036965736,0.11872327126223707,0.006988364450700955,0.029478191864774936,60.17702784470971
ENSMUSG00000015790,Surf1,0.22596205562853328,0.08383262521385566,0.007030518991293389,0.029636293660617204,155.7642059311875
ENSMUSG00000036835,Psenen,0.23385385405997428,0.08676023597614838,0.0070303413322831,0.029636293660617204,188.6180600392716
ENSMUSG00000033805,Ephx4,0.21031051415652652,0.0780226008713607,0.007028147303013473,0.029636293660617204,274.13553776229094
ENSMUSG00000025880,Smad7,0.6211866587130213,0.2305309688362002,0.007047509331781611,0.029701333081039737,148.59247121556007
ENSMUSG00000116505,Gm10865,0.5848290909588968,0.21706574135513346,0.007054750351896091,0.029725264827125408,4.152984531684621
ENSMUSG00000036972,Zic4,-1.676202016379467,0.6221686290000732,0.007057302518227023,0.029729433814603825,1.086774985276697
ENSMUSG00000039531,Zup1,0.23853007828765116,0.08855273130043426,0.007067430362995621,0.02975891881930693,42.33949540172541
ENSMUSG00000031637,Lrp2bp,0.7451358959589702,0.276622514109208,0.007066539925325092,0.02975891881930693,5.4953161001391075
ENSMUSG00000020994,Pnn,0.26277663000411905,0.0975591974491387,0.007070411991543258,0.02976488553377272,201.44767539474756
ENSMUSG00000035775,Krt20,1.2524053323510955,0.465228605353267,0.007102040136064258,0.029891418484178423,0.25027868972772377
ENSMUSG00000037126,Psd,0.18482600213111,0.06866820063482022,0.007111429530953378,0.02992431661067398,547.3243085800493
ENSMUSG00000061175,Fnip2,-0.21947646945037252,0.08155437814795556,0.007120249442035504,0.029954804375339105,58.21837077922571
ENSMUSG00000049184,Purg,0.16642796525962722,0.06185089287756615,0.007128235515672409,0.029975144219750647,418.09852249663635
ENSMUSG00000020628,Trappc12,-0.1514361889696923,0.056277947228927074,0.007126767091532057,0.029975144219750647,97.44741542331823
ENSMUSG00000062627,Mysm1,-0.16694887503044198,0.06208349416333983,0.007164443163560646,0.03011440987733182,156.8767680779414
ENSMUSG00000042462,Dctpp1,0.16660594761527595,0.061956051253434626,0.007164519507191117,0.03011440987733182,139.34138602004356
ENSMUSG00000062077,Trim54,1.316831589041909,0.4897254181430117,0.007168398301407427,0.030124057717246498,17.047476194992537
ENSMUSG00000044433,Camsap3,-0.3109306140327322,0.11563771808188522,0.007170209151889441,0.03012501300917507,24.460941539574797
ENSMUSG00000116894,4930547E14Rik,0.7230480148369073,0.2689278928840676,0.007174556252259905,0.030136621360784373,3.6057537684242744
ENSMUSG00000032418,Me1,-0.46059066194431947,0.17135409168498497,0.00718928753718612,0.030191833577798845,82.74777853648294
ENSMUSG00000031990,Jam3,-0.6190691260032832,0.23034047330794477,0.00719618709678696,0.03021413889412384,140.20325079618462
ENSMUSG00000034083,Ccdc174,0.17627395035131768,0.06562149666061164,0.0072264916865984585,0.030334681784167934,84.54607896210126
ENSMUSG00000055653,Gpc3,-0.947085924790554,0.3526180868011908,0.0072341484594477985,0.030360123603029983,3.873219788102849
ENSMUSG00000022708,Zbtb20,1.2856886866604011,0.47877346646201535,0.007244738716222796,0.030397862668156698,849.0115862300069
ENSMUSG00000033227,Wnt6,-0.9906169759615313,0.36891865757867814,0.007248841706460448,0.03040837147159946,1.042451662058671
ENSMUSG00000105876,Gm43572,-1.4367034864023394,0.5350839973897935,0.00725286084286606,0.030418523958263652,0.6004792476598659
ENSMUSG00000095681,Gm8281,-0.4601173534847144,0.17137528745217964,0.007256184089321473,0.03042575404788444,5.649972164628542
ENSMUSG00000104237,Gm33533,-0.5806066244128038,0.21627339292513018,0.007261758661779054,0.030442418858899235,3.3540527930881865
ENSMUSG00000029062,Cdk11b,0.2079910903830462,0.0774825509723509,0.007266872727324876,0.030457146235873197,126.42229362233118
ENSMUSG00000020441,2310033P09Rik,0.18019575267817386,0.06713810356023318,0.007275656158995461,0.03047871171290627,85.3992498537375
ENSMUSG00000034587,8430429K09Rik,-0.1998245170778053,0.07445187098137152,0.007275968789858714,0.03047871171290627,53.76544606481998
ENSMUSG00000113885,Gm47802,0.5435761152912961,0.2025319627728879,0.0072768244638362215,0.03047871171290627,2.7489103678429254
ENSMUSG00000007805,Twist2,-0.6754164147968604,0.2516736227342942,0.007281248497782718,0.030490528598243107,5.647638846396343
ENSMUSG00000097924,A730020E08Rik,-0.3194163509379888,0.11904065311660533,0.007290951490140078,0.0305244412738611,15.085869585800273
ENSMUSG00000041528,Rnf123,-0.21691799798505668,0.08084816569915676,0.0072958596496045325,0.030537014886811598,52.53616661734202
ENSMUSG00000111836,4933407I05Rik,1.2946888518439126,0.48258463480845354,0.0073003755101566,0.030537014886811598,1.584347464667226
ENSMUSG00000069920,B3gnt9,0.5572650524124253,0.2077071984240709,0.007297902595649909,0.030537014886811598,2.998518196805094
ENSMUSG00000029314,Gpat3,-0.7987000513322731,0.29770838032609664,0.007300276529069003,0.030537014886811598,2.788022511196878
ENSMUSG00000033453,Adamts15,-0.8469165716567735,0.31570544033985876,0.007304873988726752,0.030549114698073806,1.303984784201679
ENSMUSG00000026495,Efcab2,0.2586669831763964,0.09644314174900528,0.007316876926971745,0.03058158802573702,50.1472007545105
ENSMUSG00000024201,Kdm4b,-0.14725894651152185,0.054903917572795655,0.007315700890856234,0.03058158802573702,84.8759879292789
ENSMUSG00000020080,Hkdc1,-1.1516761552367716,0.4294029807152291,0.007317461558723449,0.03058158802573702,1.167621304986755
ENSMUSG00000021930,Spryd7,-0.1919658013787881,0.0715807752306363,0.00732257612963386,0.030596241662673964,154.69782809717952
ENSMUSG00000020191,Spata48,0.4057762478896074,0.15131379483405594,0.007325194477129858,0.03060046107442214,20.315877919363352
