n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo
3650,9641.0,0.08297894,0.24893685
2519,4991.0,0.3406131,0.3406131
3972,12370.0,0.008084075,0.19401778
3833,12441.0,0.032151755,0.1446829
1795,3099.0,0.064536944,0.29041627
3935,10453.0,0.038266525,0.16263273
4429,14975.0,0.06677797,0.17362271
4184,14377.0,0.0139111085,0.21562217
5017,20577.0,0.024298973,0.16037324
1845,3492.0,0.0,0.25773194
2676,7563.0,0.026444532,0.21155626
2704,6486.0,2.2355843,0.43169904
2894,6904.0,0.04345307,0.13035922
5139,22885.0,0.026218046,0.10924186
2601,5335.0,3.4864106,0.2249297
4271,13855.0,0.0,0.24539877
5517,21403.0,0.032705694,0.19156194
2905,7536.0,0.079617836,0.2786624
2497,5828.0,0.08579273,0.2745367
3235,8727.0,0.011458692,0.2750086
2663,6107.0,0.0,0.16374652
2302,5117.0,0.15634161,0.195427
3899,12216.0,0.0081859855,0.23739359
2999,8387.0,0.011923214,0.20269465
4233,12318.0,0.032472804,0.20295502
3325,9853.0,0.101491936,0.20298387
2343,5432.0,0.0,0.16568483
5941,24169.0,0.9516323,0.23997682
3284,7809.0,0.03841721,0.26892048
2324,4574.0,0.021862702,0.21862702
1973,4441.0,0.0,0.2702094
2596,6188.0,0.0,0.1454428
2544,6019.0,0.48180762,0.23259677
1454,2390.0,0.08368201,0.50209206
4492,16529.0,0.0,0.20569907
3504,9702.0,0.010307153,0.1546073
2615,6468.0,0.0154607305,0.27829313
1373,2310.0,0.043290045,0.34632036
1667,3027.0,0.06607202,0.19821607
2943,6776.0,0.29515937,0.2804014
2815,8132.0,0.0,0.14756517
2294,5582.0,0.017914725,0.053744175
4229,14105.0,0.021269053,0.17015243
3175,8722.0,0.06879156,0.1719789
2201,4511.0,0.0,0.1995123
2378,5593.0,0.017879492,0.2503129
1377,2260.0,2.4778762,0.44247788
2623,6343.0,0.06306165,0.22071575
4501,13828.0,0.028926816,0.24587794
4439,15759.0,0.012691161,0.16498509
2368,5553.0,0.054024853,0.054024853
4321,17352.0,0.011526049,0.1152605
4512,13740.0,0.021834062,0.1746725
3667,10107.0,0.029682398,0.29682398
3282,9999.0,0.020002,0.18001801
1941,4139.0,0.024160426,0.26576468
2467,5813.0,0.034405645,0.20643386
5114,19231.0,0.067599185,0.20279756
3815,11407.0,0.035066187,0.30682912
2224,4676.0,0.0213858,0.3635586
2794,7463.0,0.066997185,0.2545893
2878,6350.0,0.11023622,0.33070865
2406,5585.0,0.017905103,0.35810205
773,1402.0,0.0,0.28530672
5455,24427.0,0.0040938305,0.15556556
4339,13196.0,0.07578054,0.2500758
2415,5166.0,0.038714673,0.25164536
2750,6922.0,0.014446692,0.26004043
8020,48744.0,0.016412275,0.19694732
5147,21332.0,0.028126758,0.15938497
2463,5434.0,0.018402651,0.29444242
1973,3748.0,0.34685165,0.48025614
2334,4849.0,0.020622808,0.24747372
1517,2560.0,0.078125,0.3125
4819,17537.0,0.0,0.20528026
1648,3607.0,0.0,0.52675354
2971,7709.0,0.0,0.22052146
2213,5246.0,0.038124286,0.133435
6922,38338.0,0.010433512,0.13041891
3315,9684.0,0.0,0.2684841
4220,12855.0,0.015558148,0.16336055
4392,16833.0,0.0,0.12475494
3342,11337.0,0.026462026,0.23815826
3697,11631.0,0.0,0.15475884
2847,6716.0,0.044669446,0.14889815
4539,17349.0,0.103752375,0.18444867
3046,9229.0,0.01083541,0.17336656
5106,22750.0,0.07472527,0.114285715
2843,6838.0,0.043872476,0.20473823
407,502.0,0.1992032,1.9920319
6789,31480.0,0.1747141,0.17153749
2452,5907.0,0.03385813,0.20314881
5171,22382.0,0.004467876,0.15637566
3385,9753.0,0.02050651,0.23582487
2422,5174.0,0.07730962,0.23192887
4504,12557.0,0.047782112,0.22298318
3261,10050.0,0.029850746,0.24875621
3983,11697.0,0.0341968,0.256476
3684,13834.0,0.028914269,0.18071418
4899,16225.0,0.03697997,0.20955317
4131,14466.0,0.0,0.17281902
2716,6954.0,0.0,0.2300834
6221,29260.0,0.064935066,0.20164046
2402,4756.0,0.042052146,0.2312868
4140,13941.0,1.004232,0.18650025
1656,3160.0,0.06329114,0.12658228
3006,7518.0,0.01330141,0.2527268
2034,4107.0,0.0,0.14609204
1808,3461.0,0.057786766,0.14446692
2930,7921.0,0.12624669,0.26511803
1639,2839.0,0.03522367,0.4931314
2664,6035.0,0.049710024,0.24855013
3918,13242.0,0.0,0.22655188
3158,6802.0,0.073507786,0.2499265
2887,7941.0,0.012592873,0.16370735
1260,1931.0,0.05178664,0.46607974
3231,7523.0,0.01329257,0.21268111
4079,12349.0,0.008097822,0.13766296
4118,17061.0,0.005861321,0.19928491
2271,5309.0,0.0,0.26370314
2781,7208.0,0.0,0.24972253
410,506.0,0.0,1.5810277
4755,18454.0,1.1162891,0.20591742
3339,10467.0,0.009553836,0.1624152
2660,6726.0,0.029735355,0.22301516
2852,7348.0,0.013609145,0.23135547
2176,4824.0,0.103648424,0.393864
1659,3029.0,0.06602839,0.33014196
2796,6737.0,0.059373606,0.29686803
3260,8087.0,0.012365525,0.259676
4091,11654.0,0.094388194,0.18877639
1766,2935.0,0.03407155,0.44293016
480,589.0,0.33955857,0.50933784
3059,8594.0,0.06981615,0.11636025
2287,4936.0,0.0,0.44570506
2551,5905.0,0.0169348,0.18628281
3602,10522.0,0.10454287,0.18057404
2831,7686.0,0.26021338,0.20817068
2492,6052.0,0.016523464,0.3965631
