Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
Reactome_2022,Cyclin D Associated Events In G1 R-HSA-69231,2/47,0.7705812306578889,0.999996057984298,0,0,0.7135042735042735,0.18594649418461,CDK6;E2F2,anterior_up
Reactome_2022,PLC Beta Mediated Events R-HSA-112043,2/47,0.7705812306578889,0.999996057984298,0,0,0.7135042735042735,0.18594649418461,PLCB4;PDE1A,anterior_up
Reactome_2022,Sensory Perception Of Taste R-HSA-9717189,2/47,0.7705812306578889,0.999996057984298,0,0,0.7135042735042735,0.18594649418461,SCN4B;TRPM4,anterior_up
Reactome_2022,Signaling By B Cell Receptor (BCR) R-HSA-983705,5/109,0.7726005388916651,0.999996057984298,0,0,0.7713730143036056,0.1990089393189319,BLNK;NFATC2;RASGRP1;NFKB1;RASGRP3,anterior_up
Reactome_2022,Assembly And Cell Surface Presentation Of NMDA Receptors R-HSA-9609736,1/25,0.7792244221302582,0.999996057984298,0,0,0.6690862510674637,0.1669077033431118,GRIN3A,anterior_up
Reactome_2022,Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,1/25,0.7792244221302582,0.999996057984298,0,0,0.6690862510674637,0.1669077033431118,CCNA1,anterior_up
Reactome_2022,Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192,1/25,0.7792244221302582,0.999996057984298,0,0,0.6690862510674637,0.1669077033431118,RAD51B,anterior_up
Reactome_2022,G Beta:Gamma Signaling Thru PI3Kgamma R-HSA-392451,1/25,0.7792244221302582,0.999996057984298,0,0,0.6690862510674637,0.1669077033431118,GNG12,anterior_up
Reactome_2022,NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507,1/25,0.7792244221302582,0.999996057984298,0,0,0.6690862510674637,0.1669077033431118,JAG1,anterior_up
Reactome_2022,Polymerase Switching On C-strand Of Telomere R-HSA-174411,1/25,0.7792244221302582,0.999996057984298,0,0,0.6690862510674637,0.1669077033431118,CHTF18,anterior_up
Reactome_2022,Signaling By ERBB2 In Cancer R-HSA-1227990,1/25,0.7792244221302582,0.999996057984298,0,0,0.6690862510674637,0.1669077033431118,BTC,anterior_up
Reactome_2022,Termination Of O-glycan Biosynthesis R-HSA-977068,1/25,0.7792244221302582,0.999996057984298,0,0,0.6690862510674637,0.1669077033431118,ST6GALNAC3,anterior_up
Reactome_2022,Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202,6/130,0.7803857040549182,0.999996057984298,0,0,0.7761854700381785,0.1924683740207202,JUN;NFATC2;LCP2;RASGRP1;NFKB1;VAV2,anterior_up
Reactome_2022,SLC-mediated Transmembrane Transport R-HSA-425407,12/247,0.7874807638870829,0.999996057984298,0,0,0.8184739545121057,0.1955467978248009,SLC44A5;SLC2A9;SLC13A1;SLC22A1;SLCO2A1;SLC39A8;SLC7A11;SLC1A5;SLC26A4;SLC12A7;SLC5A5;SLC7A3,anterior_up
Reactome_2022,Signaling By TGF-beta Receptor Complex R-HSA-170834,4/91,0.7877945479149403,0.999996057984298,0,0,0.7377184695323571,0.1759590963774524,TGFB2;LTBP3;LTBP1;TGFBR2,anterior_up
