gene_identifier,symbol,log2FoldChange,lfcSE,pvalue,padj,baseMean
ENSMUSG00000031660,Brd7,0.17405889331825278,0.07289296928471169,0.01694636107916322,0.0480882812893296,224.80531569152168
ENSMUSG00000025533,Asl,-0.2637148755245785,0.11047020661991773,0.016977086059180198,0.048162539387683986,22.065491701400262
ENSMUSG00000018809,Smyd4,-0.24478815903942205,0.10254229178874665,0.016977612829009447,0.048162539387683986,142.09111967012603
ENSMUSG00000025766,D3Ertd751e,-0.23559766955292266,0.09869985189702134,0.016985965536288932,0.048179022139301794,55.80770118358997
ENSMUSG00000038128,Camk4,0.2827912339638537,0.11848237786623715,0.0169967119759107,0.048202288527911974,868.2423537813066
ENSMUSG00000091558,Gm17227,0.34698919174834214,0.14540882600932145,0.017018826443814847,0.04825778259917572,16.37183296923279
ENSMUSG00000104861,3110039M20Rik,-0.2135464195253842,0.0894927004612077,0.01702403979436195,0.048265343223093796,134.82707509598322
ENSMUSG00000117406,Ntn3,-0.23804452071786014,0.0997729717016526,0.01703915337823743,0.04830096582163041,54.94449701206218
ENSMUSG00000062175,Tgif2,0.665048250557529,0.27877272013482707,0.017049947354939005,0.04832433478553606,5.621408451955843
ENSMUSG00000060012,Kif13b,-0.18178509513787244,0.07620326064752965,0.017054573448429273,0.04833021786267904,126.69518072517897
ENSMUSG00000026023,Cdk15,0.825427456161741,0.34609234526924526,0.017079495252474097,0.04839360571686366,1.290046307504807
ENSMUSG00000049804,Armcx4,-0.208714449961547,0.08751697215623544,0.017086299285126033,0.04840564680118677,128.64729449043404
ENSMUSG00000056069,Otulinl,-0.19403583511713848,0.08140110567337268,0.01713955713020852,0.04854926870216016,133.5257802748822
ENSMUSG00000037257,Aagab,-0.18282948982789365,0.07670234769218938,0.0171431485997099,0.04855218442153678,126.6729150924784
ENSMUSG00000026437,Cdk18,0.3861124739378351,0.16199875154517165,0.01715220671697512,0.04857057939131478,320.1013573732878
